Company,ISIN
Satellite Chemical Co Ltd,CNE100001B07
Avic XiAn Aircraft Industry Group Co Ltd,CNE000000RF9
Bank of Chengdu Co Ltd,CNE100002SN6
Zhejiang Nhu Co Ltd,CNE000001J84
Founder Securities Co Ltd,CNE1000015Y8
China Resources Microelectronics Ltd,CNE100003S06
Ganfeng Lithium Group Co Ltd,CNE100000SF6
Jiangsu Expressway Co Ltd,CNE0000016S0
Shanghai Pharmaceuticals Holding Co Ltd,CNE000000C82
Zhejiang Juhua Co Ltd,CNE000000WQ6
Hoshine Silicon Industry Co Ltd,CNE100002V10
Hundsun Technologies Inc,CNE000001GD5
Jinko Solar Co Ltd,CNE100005R96
Empyrean Technology Co Ltd,CNE100005GY1
Sichuan Road & Bridge Group Co Ltd,CNE000001DQ4
Chongqing Zhifei Biological Products Co Ltd,CNE100000V20
Zoomlion Heavy Industry Science and Technology Co Ltd,CNE000001527
Huadong Medicine Co Ltd,CNE0000011S1
Shanghai Fosun Pharmaceutical Group Co Ltd,CNE000000X38
Jiangsu King's Luck Brewery Joint-Stock Co Ltd,CNE100001TH8
Zhongjin Gold Corp Ltd,CNE000001FM8
CITIC Pacific Special Steel Group Co Ltd,CNE0000008J6
Tbea Co Ltd,CNE000000RB8
Metallurgical Corporation of China Ltd,CNE100000FX6
Jiangxi Copper Co Ltd,CNE0000019P0
ENN Natural Gas Co Ltd,CNE000000DG7
Ningbo Deye Technology Co Ltd,CNE1000052S3
Jiangsu Eastern Shenghong Co Ltd,CNE0000012K6
Zhejiang Dahua Technology Co Ltd,CNE100000BJ4
Sieyuan Electric Co Ltd,CNE000001KM8
Capital Securities Corp Ltd,CNE100005VG7
Yonyou Network Technology Co Ltd,CNE0000017Y6
AVIC Airborne Systems Co Ltd,CNE0000018C0
China Railway Signal & Communication Corp Ltd,CNE100003MP2
National Silicon Industry Group Co Ltd,CNE1000040F5
Yutong Bus Co Ltd,CNE000000PY4
Yunnan Aluminium Co Ltd,CNE000000VG9
Suzhou TFC Optical Communication Co Ltd,CNE100001XQ1
Unigroup Guoxin Microelectronics Co Ltd,CNE000001M14
HUAYU Automotive Systems Co Ltd,CNE000000M15
Zhuzhou CRRC Times Electric Co Ltd,CNE100004QK2
Zheshang Securities Co Ltd,CNE100002R65
China Resources Sanjiu Medical & Pharmaceutical Co Ltd,CNE0000011K8
Imeik Technology Development Co Ltd,CNE100004868
Zhejiang Chint Electrics Co Ltd,CNE100000KD8
China Oilfield Services Ltd,CNE100000759
Huadian Power International Corp Ltd,CNE000001LJ2
Industrial Securities Co Ltd,CNE100000V95
Zangge Mining Co Ltd,CNE000000L08
Kunlun Tech Co Ltd,CNE100001YF2
Zhejiang Huayou Cobalt Co Ltd,CNE100001VW3
Tianqi Lithium Corp,CNE100000T32
Cinda Securities Co Ltd,CNE100005VS2
China Merchants Energy Shipping Co Ltd,CNE000001PQ8
Yealink Network Technology Co Ltd,CNE100002PC5
