Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
2020-01-31,Swiss Life Holding AG,CH0014852781,,1.55,,,,
2020-01-31,Commerzbank AG,DE000CBK1001,,1.55,,,,
2020-01-31,ArcelorMittal SA,LU1598757687,,1.55,,,,
2020-01-31,Epiroc AB,SE0015658109,,1.55,,,,
2020-01-31,Koninklijke Philips NV,NL0000009538,,1.55,,,,
2020-01-31,Endesa SA,ES0130670112,,1.55,,,,
2020-01-31,Prudential PLC,GB0007099541,,1.55,,,,
2020-01-31,Coloplast A/S,DK0060448595,,1.55,,,,
2020-01-31,Cellnex Telecom SA,ES0105066007,,1.55,,,,
2020-01-31,Novozymes A/S,DK0060336014,,1.55,,,,
2020-01-31,Straumann Holding AG,CH1175448666,,1.55,,,,
2020-01-31,Ryanair Holdings PLC,IE00BYTBXV33,,1.55,,,,
2020-01-31,RWE AG,DE0007037129,,1.55,,,,
2020-01-31,Bayer AG,DE000BAY0017,,1.55,,,,
2020-01-31,Sampo Oyj,FI4000552500,,1.55,,,,
2020-01-31,Antofagasta PLC,GB0000456144,,1.55,,,,
2020-01-31,Powszechna Kasa Oszczednosci Bank Polski SA,PLPKO0000016,,1.55,,,,
2020-01-31,Tenaris SA,LU2598331598,,1.55,,,,
2020-01-31,Fresenius SE & Co KGaA,DE0005785604,,1.55,,,,
2020-01-31,Leonardo SpA,IT0003856405,,1.55,,,,
2020-01-31,Prysmian SpA,IT0004176001,,1.55,,,,
2020-01-31,Veolia Environnement SA,FR0000124141,,1.55,,,,
2020-01-31,Vodafone Group PLC,GB00BH4HKS39,,1.55,,,,
2020-01-31,SSE PLC,GB0007908733,,1.55,,,,
2020-01-31,Sartorius Stedim Biotech SA,FR0013154002,,1.55,,,,
2020-01-31,Heineken Holding NV,NL0000008977,,1.55,,,,
2020-01-31,Geberit AG,CH0030170408,,1.55,,,,
2020-01-31,Poste Italiane SpA,IT0003796171,,1.55,,,,
2020-01-31,SGS SA,CH1256740924,,1.55,,,,
2020-01-31,International Consolidated Airlines Group SA,ES0177542018,,1.55,,,,
2020-01-31,InterContinental Hotels Group PLC,GB00BHJYC057,,1.55,,,,
2020-01-31,Moncler SpA,IT0004965148,,1.55,,,,
2020-01-31,Sonova Holding AG,CH0012549785,,1.55,,,,
2020-01-31,Essity AB (publ),SE0009922164,,1.55,,,,
2020-01-31,BT Group PLC,GB0030913577,,1.55,,,,
2020-01-31,H & M Hennes & Mauritz AB,SE0000106270,,1.55,,,,
2020-01-31,Alfa Laval AB,SE0000695876,,1.55,,,,
2020-01-31,Legal & General Group PLC,GB0005603997,,1.55,,,,
2020-01-31,Oersted A/S,DK0060094928,,1.55,,,,
2020-01-31,Orlen SA,PLPKN0000018,,1.55,,,,
2020-01-31,Associated British Foods PLC,GB0006731235,,1.55,,,,
2020-01-31,Logitech International SA,CH0025751329,,1.55,,,,
2020-01-31,Bollore SE,FR0000039299,,1.55,,,,
2020-01-31,Telenor ASA,NO0010063308,,1.55,,,,
2020-01-31,MTU Aero Engines AG,DE000A0D9PT0,,1.55,,,,
2020-01-31,Sartorius AG,DE0007165631,,1.55,,,,
2020-01-31,Carlsberg A/S,DK0010181759,,1.55,,,,
2020-01-31,Kerry Group PLC,IE0004906560,,1.55,,,,
2020-01-31,Aviva PLC,GB00BPQY8M80,,1.55,,,,
2020-01-31,Ems Chemie Holding AG,CH0016440353,,1.55,,,,
2020-01-31,Terna Rete Elettrica Nazionale SpA,IT0003242622,,1.55,,,,
2020-01-31,Evolution AB (publ),SE0012673267,,1.55,,,,
2020-01-31,UPM-Kymmene Oyj,FI0009005987,,1.55,,,,
2020-01-31,Sage Group PLC,GB00B8C3BL03,,1.55,,,,
2020-01-31,Snam SpA,IT0003153415,,1.55,,,,
2020-01-31,Next PLC,GB0032089863,,1.55,,,,
2020-01-31,Repsol SA,ES0173516115,,1.55,,,,
2020-01-31,Coca Cola HBC AG,CH0198251305,,1.55,,,,
2020-01-31,Renault SA,FR0000131906,,1.55,,,,
2020-01-31,Informa PLC,GB00BMJ6DW54,,1.55,,,,
2020-01-31,Amundi SA,FR0004125920,,1.55,,,,
2020-01-31,Genmab A/S,DK0010272202,,1.55,,,,
2020-01-31,Pandora A/S,DK0060252690,,1.55,,,,
2020-01-31,Bureau Veritas SA,FR0006174348,,1.55,,,,
2020-01-31,ACS Actividades de Construccion y Servicios SA,ES0167050915,,1.55,,,,
2020-01-31,Continental AG,DE0005439004,,1.55,,,,
2020-01-31,Banco BPM SpA,IT0005218380,,1.55,,,,
2020-01-31,Mediobanca Banca di Credito Finanziario SpA,IT0000062957,,1.55,,,,
2020-01-31,Kingspan Group PLC,IE0004927939,,1.55,,,,
2020-01-31,Banco de Sabadell SA,ES0113860A34,,1.55,,,,
2020-01-31,Symrise AG,DE000SYM9999,,1.55,,,,
2020-01-31,Koninklijke KPN NV,NL0000009082,,1.55,,,,
2020-01-31,Nemetschek SE,DE0006452907,,1.55,,,,
2020-01-31,Fortum Oyj,FI0009007132,,1.55,,,,
2020-01-31,Bunzl plc,GB00B0744B38,,1.55,,,,
2020-01-31,Halma PLC,GB0004052071,,1.55,,,,
2020-01-31,Biomerieux SA,FR0013280286,,1.55,,,,
2020-01-31,Vestas Wind Systems A/S,DK0061539921,,1.55,,,,
2020-01-31,Knorr Bremse AG,DE000KBX1006,,1.55,,,,
2020-01-31,Omv AG,AT0000743059,,1.55,,,,
2020-01-31,Fresenius Medical Care AG,DE0005785802,,1.55,,,,
2020-01-31,Aker BP ASA,NO0010345853,,1.55,,,,
2020-01-31,Julius Baer Gruppe AG,CH0102484968,,1.55,,,,
2020-01-31,EDP SA,PTEDP0AM0009,,1.55,,,,
2020-01-31,Jeronimo Martins SGPS SA,PTJMT0AE0001,,1.55,,,,
2020-01-31,NN Group NV,NL0010773842,,1.55,,,,
2020-01-31,Euronext NV,NL0006294274,,1.55,,,,
2020-01-31,Tryg A/S,DK0060636678,,1.55,,,,
2020-01-31,Rentokil Initial PLC,GB00B082RF11,,1.55,,,,
2020-01-31,Bouygues SA,FR0000120503,,1.55,,,,
2020-01-31,Verbund AG,AT0000746409,,1.55,,,,
2020-01-31,Telia Company AB,SE0000667925,,1.55,,,,
2020-01-31,Unibail-Rodamco-Westfield SE,FR0013326246,,1.55,,,,
2020-01-31,VAT Group AG,CH0311864901,,1.55,,,,
2020-01-31,Segro PLC,GB00B5ZN1N88,,1.55,,,,
2020-01-31,Norsk Hydro ASA,NO0005052605,,1.55,,,,
2020-01-31,Recordati Industria Chimica e Farmaceutica SpA,IT0003828271,,1.55,,,,
2020-01-31,Accor SA,FR0000120404,,1.55,,,,
2020-01-31,Powszechny Zaklad Ubezpieczen SA,PLPZU0000011,,1.55,,,,
2020-01-31,Bank Polska Kasa Opieki SA,PLPEKAO00016,,1.55,,,,
2020-01-31,Covestro AG,DE0006062144,,1.55,,,,
2020-01-31,Pearson PLC,GB0006776081,,1.55,,,,
2020-01-31,Smith & Nephew PLC,GB0009223206,,1.55,,,,
2020-01-31,Wartsila Oyj Abp,FI0009003727,,1.55,,,,
2020-01-31,Sodexo SA,FR0000121220,,1.55,,,,
2020-01-31,FinecoBank Banca Fineco SpA,IT0000072170,,1.55,,,,
2020-01-31,Bank of Ireland Group PLC,IE00BD1RP616,,1.55,,,,
2020-01-31,Galp Energia SGPS SA,PTGAL0AM0009,,1.55,,,,
2020-01-31,Indutrade AB,SE0001515552,,1.55,,,,
2020-01-31,Admiral Group PLC,GB00B02J6398,,1.55,,,,
2020-01-31,Intertek Group PLC,GB0031638363,,1.55,,,,
2020-01-31,ASR Nederland NV,NL0011872643,,1.55,,,,
2020-01-31,Aeroports de Paris SA,FR0010340141,,1.55,,,,
2020-01-31,CTS Eventim AG & Co KgaA,DE0005470306,,1.55,,,,
2020-01-31,Swedish Orphan Biovitrum AB (publ),SE0000872095,,1.55,,,,
2020-01-31,Akzo Nobel NV,NL0013267909,,1.55,,,,
2020-01-31,WPP PLC,JE00B8KF9B49,,1.55,,,,
2020-01-31,Zalando SE,DE000ZAL1111,,1.55,,,,
2020-01-31,Gjensidige Forsikring ASA,NO0010582521,,1.55,,,,
2020-01-31,Aegon Ltd,BMG0112X1056,,1.55,,,,
2020-01-31,ABN Amro Bank NV,NL0011540547,,1.55,,,,
2020-01-31,Ageas SA,BE0974264930,,1.55,,,,
2020-01-31,Mowi ASA,NO0003054108,,1.55,,,,
2020-01-31,Swatch Group AG,CH0012255151,,1.55,,,,
2020-01-31,Groep Brussel Lambert NV,BE0003797140,,1.55,,,,
2020-01-31,SKF AB,SE0000108227,,1.55,,,,
2020-01-31,Melrose Industries PLC,GB00BNGDN821,,1.55,,,,
2020-01-31,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,,1.55,,,,
2020-01-31,Eurofins Scientific SE,FR0014000MR3,,1.55,,,,
2020-01-31,Boliden AB,SE0020050417,,1.55,,,,
2020-01-31,GEA Group AG,DE0006602006,,1.55,,,,
2020-01-31,Alstom SA,FR0010220475,,1.55,,,,
2020-01-31,Ipsen SA,FR0010259150,,1.55,,,,
2020-01-31,Brenntag SE,DE000A1DAHH0,,1.55,,,,
2020-01-31,Orkla ASA,NO0003733800,,1.55,,,,
2020-01-31,Redeia Corporacion SA,ES0173093024,,1.55,,,,
2020-01-31,Helvetia Holding AG,CH0466642201,,1.55,,,,
2020-01-31,Skanska AB,SE0000113250,,1.55,,,,
2020-01-31,Swiss Prime Site AG,CH0008038389,,1.55,,,,
2020-01-31,Eiffage SA,FR0000130452,,1.55,,,,
2020-01-31,Centrica PLC,GB00B033F229,,1.55,,,,
2020-01-31,Evonik Industries AG,DE000EVNK013,,1.55,,,,
2020-01-31,IMCD NV,NL0010801007,,1.55,,,,
2020-01-31,Severn Trent PLC,GB00B1FH8J72,,1.55,,,,
2020-01-31,Klepierre SA,FR0000121964,,1.55,,,,
2020-01-31,Getlink SE,FR0010533075,,1.55,,,,
2020-01-31,Belimo Holding AG,CH1101098163,,1.55,,,,
2020-01-31,Marks and Spencer Group PLC,GB0031274896,,1.55,,,,
2020-01-31,Carrefour SA,FR0000120172,,1.55,,,,
2020-01-31,Stora Enso Oyj,FI0009005961,,1.55,,,,
2020-01-31,Smiths Group PLC,GB00B1WY2338,,1.55,,,,
2020-01-31,Intermediate Capital Group PLC,GB00BYT1DJ19,,1.55,,,,
2020-01-31,SIG Group AG,CH0435377954,,1.55,,,,
2020-01-31,Auto Trader Group PLC,GB00BVYVFW23,,1.55,,,,
2020-01-31,Baloise Holding AG,CH0012410517,,1.55,,,,
2020-01-31,Qiagen NV,NL0015002CX3,,1.55,,,,
2020-01-31,Sofina SA,BE0003717312,,1.55,,,,
2020-01-31,Trelleborg AB,SE0000114837,,1.55,,,,
2020-01-31,Bankinter SA,ES0113679I37,,1.55,,,,
2020-01-31,Delivery Hero SE,DE000A2E4K43,,1.55,,,,
2020-01-31,Rexel SA,FR0010451203,,1.55,,,,
2020-01-31,United Utilities Group PLC,GB00B39J2M42,,1.55,,,,
2020-01-31,Demant A/S,DK0060738599,,1.55,,,,
